country_region,year,month,avg_retail_recreation,avg_grocery_pharmacy,avg_parks,avg_transit_stations,avg_workplaces,avg_residential
France,2020,2,1.5242424242424244,1.7350791717417784,20.978168587022441,8.9499691167387283,-10.495757575757574,2.1126674786845308
France,2020,3,-44.221309069562665,-20.371386430678466,-26.918109773994722,-38.62481270602337,-33.3041055718475,14.684886499402628
France,2020,4,-81.337283500455783,-42.967457420924575,-56.516060606060627,-76.864628820960675,-61.226363636363629,26.633530694920541
France,2020,5,-51.1548178613396,-16.733195754716984,-4.5983558426306521,-53.200768775872262,-38.556011730205292,15.841901931649334
France,2020,6,-15.215650591446767,-1.08988421694089,47.710158150851591,-18.576380368098167,-18.225757575757573,6.4907210222087022
France,2020,7,3.1230182031708744,10.617429837518463,158.37212772306773,11.327799577422276,-22.96099706744868,3.6159505591524428
France,2020,8,6.7209377007064885,14.40532825880114,187.42844638949674,19.459500378501133,-30.794956469528678,4.1473622163277337
France,2020,9,-6.59385009609225,1.7523052464228932,73.0450173143517,5.2424672102091439,-16.046683046683047,1.2895377128953771
France,2020,10,-14.460410557184748,0.98408488063660526,27.084263065179094,-5.2980941036331162,-18.044574780058646,4.8766881972988836
France,2020,11,-50.346889226100132,-13.419256550883606,-17.56363636363637,-39.932337701920147,-28.250303030303023,13.105007587253416
France,2020,12,-24.778625954198482,9.1597755463673938,-5.5205278592375366,-25.639266706091068,-30.739296187683276,10.037580739870815
France,2021,1,-39.912775330396492,-10.099115044247785,-14.495601173020528,-27.297273266152942,-23.727859237536652,8.8511013215859009
France,2021,2,-36.273081924577362,-1.5464052287581702,10.271841506982788,-19.32906824146982,-25.001948051948048,8.0308842652795871
France,2021,3,-34.209336465061646,3.678171091445428,16.748091603053435,-16.649081209247186,-19.295601173020522,6.9069289489136816
France,2021,4,-40.285497572815537,5.56280487804878,19.1715239829994,-29.351795496043824,-30.150303030303032,10.862864077669906
France,2021,5,-22.819835680751176,16.165827657684336,54.615045548045835,-0.40968899521531071,-20.802052785923767,5.6951541850220258
France,2021,6,0.70597150651712648,23.174549893195,87.516079632465534,13.136760124610595,-8.449393939393941,1.25
France,2021,7,14.111241561491051,32.25960969840331,162.89082706766916,37.662772825084538,-19.122873900293257,1.3975337639459779
France,2021,8,17.818795888399411,42.52800000000002,205.04980261160043,46.070040111076835,-26.582111436950143,3.2781204111600584
France,2021,9,5.2310491206792,26.378015267175581,98.793368130181165,30.553425518541797,-9.8730303030303048,0.26941747572815544
France,2021,10,0.046041055718475138,19.785629804849204,54.788901937756904,15.424086930274672,-10.313196480938416,0.980323054331865
France,2021,11,-5.0133333333333336,14.793902439024388,22.240521686381562,3.8423980222496903,-16.512424242424242,3.6926577669902914
France,2021,12,0.54252199413489743,30.03494225644063,18.448194892867612,2.9611011370436859,-20.660117302052786,4.8405754550792723
France,2022,1,-14.984164222873899,15.648640661938538,7.0824288647697262,-7.29474940334129,-15.011436950146622,6.2516886930983828
France,2022,2,-5.9327922077922075,16.724509803921574,26.959714100064978,5.3064891846921816,-13.93733766233766,4.0393368010403128
France,2022,3,-8.1219941348973581,17.367877177443159,44.282774838330404,8.7272454190447561,-6.6824046920821134,3.2906635349383433
France,2022,4,-3.417702334040619,24.342290076335868,81.117647058823522,17.522308892355692,-13.343636363636362,3.6189320388349517
France,2022,5,4.358274647887324,26.689440993788814,110.10032554010061,28.762252663622533,-8.73782991202346,1.1321585903083706
France,2022,6,6.8425841674249321,30.032139577594123,116.52540806898675,32.610918270747874,-6.1742424242424239,0.89259708737864063
France,2022,7,11.978267254038178,37.842886842886841,183.71779327068816,50.539384615384613,-15.968621700879758,2.2140969162995607
France,2022,8,16.263065179095708,42.224792408066442,218.9191515524131,53.23683400061595,-26.837536656891487,5.3628890193775689
France,2022,9,6.5826508947528062,30.920867705468989,109.17473035439139,35.976325757575751,-7.0151515151515174,1.52002427184466
France,2022,10,2.2387878787878792,27.958460598656078,74.82704019488429,27.268965517241377,-2.6212121212121211,1.8495145631067962
Germany,2020,2,1.1411764705882355,2.0823529411764703,9.56862745098039,-0.0509803921568628,-4.11372549019608,1.0666666666666667
Germany,2020,3,-26.846299810246673,-3.2352941176470589,13.159392789373815,-28.844402277039848,-19.1764705882353,7.8235294117647065
Germany,2020,4,-51.219607843137261,-11.177165354330711,40.954901960784319,-48.088235294117645,-38.011764705882349,13.464705882352945
Germany,2020,5,-30.406072106261856,-3.8859315589353614,59.065009560229441,-31.810246679316883,-23.216318785578746,8.3301707779886147
Germany,2020,6,-12.678431372549017,0.023529411764705955,99.543434343434313,-20.041176470588237,-17.113725490196074,4.9509803921568629
Germany,2020,7,-1.6185958254269448,4.8842504743833,131.0448343079922,-13.40607210626186,-19.447817836812142,3.3889943074003797
Germany,2020,8,-1.7855787476280831,3.3025540275049114,136.08101851851853,-10.358095238095236,-19.235294117647051,2.2561669829222013
Germany,2020,9,-0.34705882352941192,3.5788423153692608,113.42511013215861,-6.528487229862475,-13.182352941176472,1.4137254901960781
Germany,2020,10,-10.123339658444021,1.7533206831119543,58.1100569259962,-15.639468690702083,-16.472485768500952,4.4212523719165082
Germany,2020,11,-29.562745098039208,-1.9647058823529411,13.162745098039213,-28.198039215686276,-16.209803921568628,7.7705882352941176
Germany,2020,12,-43.476280834914611,-7.5578747628083489,-5.074003795066413,-40.967741935483879,-33.35104364326375,12.233396584440227
Germany,2021,1,-59.878557874762826,-18.275142314990504,-6.3074003795066416,-47.696394686907013,-31.166982922201139,12.779886148007588
Germany,2021,2,-52.296218487394945,-6.0021008403361353,19.989495798319325,-40.623949579831937,-25.768907563025213,11.268907563025207
Germany,2021,3,-36.573055028462996,2.1138519924098675,33.356736242884239,-31.956356736242881,-19.755218216318784,8.86717267552182
Germany,2021,4,-38.998039215686269,-0.36862745098039235,52.499999999999993,-32.072549019607848,-22.945098039215686,9.67450980392157
Germany,2021,5,-29.833017077798861,6.8292220113851991,84.941176470588232,-23.776091081593933,-18.9696394686907,7.8614800759013264
Germany,2021,6,-5.6039215686274515,19.476470588235294,136.6705882352941,-10.462745098039218,-8.3705882352941234,3.0647058823529409
Germany,2021,7,3.5161290322580649,21.80834914611005,152.79696394686906,-2.5768500948766606,-11.557874762808348,2.584440227703984
Germany,2021,8,7.1688804554079724,23.345351043643277,150.82922201138516,-0.37381404174573107,-15.984819734345347,3.1195445920303597
Germany,2021,9,6.4666666666666659,23.221568627450981,130.82352941176475,2.8137254901960778,-8.349019607843136,1.8745098039215691
Germany,2021,10,1.5161290322580649,19.669829222011387,84.136622390891858,-2.3681214421252377,-12.161290322580648,3.1574952561669827
Germany,2021,11,-7.3705882352941181,15.1,28.945098039215683,-12.252941176470589,-12.045098039215686,5.5098039215686265
Germany,2021,12,-13.554079696394693,16.191650853889943,19.100569259962047,-22.69639468690702,-23.943074003795065,8.76091081593928
Germany,2022,1,-21.537001897533212,5.5085388994307394,11.476280834914613,-24.67172675521822,-14.229601518026564,7.9430740037950658
Germany,2022,2,-13.831932773109244,11.39915966386555,29.523109243697476,-18.296218487394952,-11.888655462184873,6.51890756302521
Germany,2022,3,-10.605313092979125,14.857685009487666,61.540796963946867,-11.417457305502847,-9.7893738140417437,4.8994307400379524
Germany,2022,4,-7.8588235294117634,13.586274509803923,85.123529411764736,-5.3901960784313721,-13.950980392156861,4.231372549019607
Germany,2022,5,1.817836812144213,23.990512333965849,120.85958254269447,6.2409867172675506,-4.474383301707781,1.2314990512333963
Germany,2022,6,0.81960784313725465,22.223529411764705,146.10000000000005,21.611764705882358,-5.8686274509803917,1.0450980392156866
Germany,2022,7,2.392789373814042,26.218216318785583,152.37950664136622,23.779886148007595,-7.3719165085388987,1.8140417457305504
Germany,2022,8,3.5996204933586338,24.362428842504748,166.84440227703985,23.261859582542698,-13.728652751423152,3.0777988614800749
Germany,2022,9,-0.95294117647058807,24.052941176470597,95.474509803921578,9.9823529411764671,-6.4196078431372561,1.9941176470588236
