period,date,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential
First Lockdown,2020-03-17,-64,-13,-40,-31,-51,22
First Lockdown,2020-03-17,-65,-18,-15,-64,-44,17
First Lockdown,2020-03-17,-68,-23,-51,-58,-56,23
First Lockdown,2020-03-17,-62,-14,-26,-51,-48,21
First Lockdown,2020-03-17,-69,-24,-35,-60,-52,21
First Lockdown,2020-03-17,-64,-21,-35,-51,-50,21
First Lockdown,2020-03-17,-67,-11,-35,-60,-50,21
First Lockdown,2020-03-17,-69,-25,-30,-54,-51,21
First Lockdown,2020-03-17,-70,-29,-34,-50,-54,22
First Lockdown,2020-03-17,-68,-21,-31,-45,-48,19
First Lockdown,2020-03-17,-71,-22,-44,-57,-50,19
First Lockdown,2020-03-17,-68,-18,-33,-60,-53,22
First Lockdown,2020-03-17,-62,-13,-37,-62,-62,29
First Lockdown,2020-03-17,-65,-15,-7,-42,-44,18
First Lockdown,2020-03-17,-65,-17,-40,-45,-51,20
First Lockdown,2020-03-17,-66,-23,-30,-45,-49,20
First Lockdown,2020-03-17,-61,-19,0,-38,-40,16
First Lockdown,2020-03-17,-65,-16,-20,-53,-45,18
First Lockdown,2020-03-17,-61,-18,-26,-53,-44,18
First Lockdown,2020-03-17,-60,-10,-8,-54,-43,19
First Lockdown,2020-03-17,-70,-22,-34,-41,-50,22
First Lockdown,2020-03-17,-66,-15,-26,-55,-49,21
First Lockdown,2020-03-17,-70,-27,-55,-56,-51,20
First Lockdown,2020-03-17,-69,-23,-37,-53,-50,22
First Lockdown,2020-03-17,-61,-11,-8,-33,-44,17
First Lockdown,2020-03-17,-60,-13,-14,5,-43,17
First Lockdown,2020-03-17,-66,-20,-28,-28,-44,21
First Lockdown,2020-03-17,-64,-18,-18,12,-42,16
First Lockdown,2020-03-17,-65,-14,-35,-56,-50,22
First Lockdown,2020-03-17,-62,-17,-20,-64,-44,19
First Lockdown,2020-03-17,-68,-20,-36,-28,-51,22
First Lockdown,2020-03-17,-64,-15,-20,-47,-47,18
First Lockdown,2020-03-17,-66,-23,-34,-41,-48,17
First Lockdown,2020-03-17,-71,-24,-36,-42,-54,23
First Lockdown,2020-03-17,-67,-11,-45,-60,-59,27
First Lockdown,2020-03-17,-66,-15,-17,-17,-48,21
First Lockdown,2020-03-17,-65,-19,-12,-42,-48,18
First Lockdown,2020-03-17,-69,-27,-42,-62,-58,23
First Lockdown,2020-03-17,-67,-21,-37,-50,-51,23
First Lockdown,2020-03-17,-64,-12,-20,-20,-41,16
First Lockdown,2020-03-17,-60,-9,-24,-26,-45,19
First Lockdown,2020-03-17,-62,-15,-10,4,-45,19
First Lockdown,2020-03-17,-65,-14,-21,-50,-43,20
First Lockdown,2020-03-17,-66,-7,-14,-56,-45,18
First Lockdown,2020-03-17,-68,-19,-18,-57,-49,22
First Lockdown,2020-03-17,-64,-12,-33,-39,-49,21
First Lockdown,2020-03-17,-65,-17,-32,-9,-49,22
First Lockdown,2020-03-17,-73,-11,-65,-66,-68,30
First Lockdown,2020-03-17,-68,-17,-47,-45,-49,23
First Lockdown,2020-03-17,-68,-15,-35,-55,-53,24
First Lockdown,2020-03-17,-63,-18,-25,-3,-44,18
First Lockdown,2020-03-17,-64,-19,-27,-40,-48,19
First Lockdown,2020-03-17,-70,-22,-44,-68,-57,25
First Lockdown,2020-03-17,-65,-29,-34,-54,-51,19
First Lockdown,2020-03-17,-67,-23,-37,-58,-51,22
First Lockdown,2020-03-17,-68,-25,-28,-57,-53,20
First Lockdown,2020-03-17,-67,-18,-20,-45,-48,20
First Lockdown,2020-03-17,-58,-16,-7,-58,-47,20
First Lockdown,2020-03-17,-64,-17,-24,-58,-45,19
First Lockdown,2020-03-17,-65,-17,-53,-74,-69,31
First Lockdown,2020-03-17,-62,-16,-6,-32,-45,19
First Lockdown,2020-03-17,-62,-13,-22,-29,-46,19
First Lockdown,2020-03-17,-71,-21,-28,-63,-53,24
First Lockdown,2020-03-17,-59,-19,-31,-57,-44,19
First Lockdown,2020-03-17,-65,-17,-24,-37,-47,18
First Lockdown,2020-03-17,-70,-20,-22,-51,-50,20
First Lockdown,2020-03-17,-64,-18,-43,-54,-49,21
First Lockdown,2020-03-17,-70,-22,-37,-62,-54,22
First Lockdown,2020-03-17,-67,-22,-48,-58,-57,24
First Lockdown,2020-03-17,-68,-15,-30,-61,-53,22
First Lockdown,2020-03-17,-68,-11,-51,-63,-68,30
First Lockdown,2020-03-17,-68,-24,-33,-64,-56,25
First Lockdown,2020-03-17,-70,-23,-35,-66,-57,23
First Lockdown,2020-03-17,-65,-22,-32,-49,-51,18
First Lockdown,2020-03-17,-64,-5,-47,-56,-66,27
First Lockdown,2020-03-17,-71,-23,-35,-48,-50,21
First Lockdown,2020-03-17,-69,-25,-55,-61,-56,23
First Lockdown,2020-03-17,-71,-22,-44,-64,-61,28
First Lockdown,2020-03-17,-63,-13,-24,-56,-45,19
First Lockdown,2020-03-17,-62,-14,-39,-55,-63,28
First Lockdown,2020-03-17,-64,-11,-12,-9,-43,19
First Lockdown,2020-03-17,-63,-13,-23,-63,-46,21
First Lockdown,2020-03-17,-68,-15,-40,-61,-55,24
First Lockdown,2020-03-17,-66,-18,-43,-55,-54,22
First Lockdown,2020-03-17,-63,-12,-23,-38,-46,20
First Lockdown,2020-03-17,-59,-14,-8,-27,-49,24
First Lockdown,2020-03-17,-69,-22,-20,-38,-50,19
First Lockdown,2020-03-17,-68,-19,-38,-59,-55,25
First Lockdown,2020-03-17,-66,-13,-37,-56,-50,21
First Lockdown,2020-03-17,-66,-22,-5,-54,-49,20
First Lockdown,2020-03-17,-66,-23,-53,-63,-56,25
First Lockdown,2020-03-17,-72,-21,-50,-65,-64,29
First Lockdown,2020-03-17,-62,-8,-16,-19,-42,18
First Lockdown,2020-03-17,-73,-26,-60,-49,-48,23
First Lockdown,2020-03-17,-67,-16,-14,-57,-49,21
First Lockdown,2020-03-17,-65,-21,-30,-29,-51,19
First Lockdown,2020-03-17,-59,-17,-38,-3,-45,19
First Lockdown,2020-03-17,-57,-8,-14,-43,-42,18
First Lockdown,2020-03-17,-88,-30,-76,-70,-78,34
First Lockdown,2020-03-17,-65,-18,-26,-54,-50,21
First Lockdown,2020-03-17,-63,-9,-18,3,-42,17
First Lockdown,2020-03-17,-64,-13,-19,-28,-47,20
First Lockdown,2020-03-17,-71,-22,-40,-52,-49,19
First Lockdown,2020-03-17,-79,-18,-62,-73,-75,34
First Lockdown,2020-03-17,-67,-18,-35,-59,-55,23
First Lockdown,2020-03-17,-69,-17,-31,-42,-46,20
First Lockdown,2020-03-17,-56,-6,8,21,-43,17
First Lockdown,2020-03-17,-70,-22,-36,-57,-50,23
First Lockdown,2020-03-17,-66,-16,-30,-62,-50,23
First Lockdown,2020-03-17,-61,-9,-15,-20,-41,17
First Lockdown,2020-03-18,-84,-45,-59,-80,-72,33
First Lockdown,2020-03-18,-83,-51,-50,-68,-65,28
First Lockdown,2020-03-18,-79,-40,-46,-74,-72,33
First Lockdown,2020-03-18,-81,-58,-56,-71,-64,25
First Lockdown,2020-03-18,-82,-48,-56,-74,-64,26
First Lockdown,2020-03-18,-80,-48,-41,-49,-60,25
First Lockdown,2020-03-18,-84,-53,-51,-75,-63,26
First Lockdown,2020-03-18,-82,-45,-57,-74,-68,28
First Lockdown,2020-03-18,-79,-48,-30,-63,-58,22
First Lockdown,2020-03-18,-82,-50,-29,-56,-56,21
First Lockdown,2020-03-18,-85,-53,-52,-74,-66,28
First Lockdown,2020-03-18,-84,-38,-69,-78,-76,35
First Lockdown,2020-03-18,-86,-38,-64,-82,-82,38
First Lockdown,2020-03-18,-81,-50,-34,-74,-60,25
First Lockdown,2020-03-18,-83,-48,-49,-76,-67,30
First Lockdown,2020-03-18,-82,-50,-45,-48,-58,23
First Lockdown,2020-03-18,-82,-47,-48,-74,-67,28
First Lockdown,2020-03-18,-81,-51,-40,-67,-61,26
First Lockdown,2020-03-18,-86,-54,-43,-35,-57,22
First Lockdown,2020-03-18,-82,-45,-50,-75,-66,29
First Lockdown,2020-03-18,-85,-49,-48,-79,-69,30
First Lockdown,2020-03-18,-83,-47,-31,-70,-61,25
First Lockdown,2020-03-18,-81,-45,-45,-72,-62,26
First Lockdown,2020-03-18,-81,-44,-57,-72,-66,27
First Lockdown,2020-03-18,-83,-46,-48,-76,-65,26
First Lockdown,2020-03-18,-84,-51,-55,-69,-63,27
First Lockdown,2020-03-18,-78,-41,-47,-67,-72,32
First Lockdown,2020-03-18,-82,-50,-37,-78,-57,22
First Lockdown,2020-03-18,-80,-51,-37,,-61,26
First Lockdown,2020-03-18,-83,-49,-47,-69,-59,24
First Lockdown,2020-03-18,-82,-52,-40,-74,-59,26
First Lockdown,2020-03-18,-83,-52,-47,-72,-63,27
First Lockdown,2020-03-18,-84,-51,-53,-74,-66,28
First Lockdown,2020-03-18,-86,-56,-72,-76,-64,29
First Lockdown,2020-03-18,-81,-42,-56,-74,-69,31
First Lockdown,2020-03-18,-85,-51,-42,-71,-62,26
First Lockdown,2020-03-18,-83,-50,-35,-76,-62,27
First Lockdown,2020-03-18,-78,-44,-33,-63,-62,28
First Lockdown,2020-03-18,-84,-56,-59,-74,-67,27
First Lockdown,2020-03-18,-79,-51,-26,-75,-58,24
First Lockdown,2020-03-18,-82,-43,-47,-76,-62,26
First Lockdown,2020-03-18,-78,-49,-56,-58,-59,24
First Lockdown,2020-03-18,-80,-47,-42,-49,-56,24
First Lockdown,2020-03-18,-80,-46,-46,-68,-63,25
First Lockdown,2020-03-18,-83,-53,-39,-63,-59,23
First Lockdown,2020-03-18,-85,-49,-60,-80,-76,36
First Lockdown,2020-03-18,-83,-49,-49,-79,-68,27
First Lockdown,2020-03-18,-83,-45,-53,-76,-67,29
First Lockdown,2020-03-18,-82,-52,-38,-72,-63,27
First Lockdown,2020-03-18,-81,-53,-51,-72,-62,24
First Lockdown,2020-03-18,-82,-49,-40,-61,-61,25
First Lockdown,2020-03-18,-77,-48,-22,-72,-59,24
First Lockdown,2020-03-18,-84,-50,-46,-74,-65,27
First Lockdown,2020-03-18,-82,-48,-48,-73,-64,28
First Lockdown,2020-03-18,-82,-49,-52,-76,-68,27
First Lockdown,2020-03-18,-83,-51,-48,-79,-67,29
First Lockdown,2020-03-18,-82,-49,-60,-77,-69,31
First Lockdown,2020-03-18,-83,-51,-45,-45,-62,28
First Lockdown,2020-03-18,-83,-46,-60,-65,-62,30
First Lockdown,2020-03-18,-82,-50,-44,-67,-59,23
First Lockdown,2020-03-18,-84,-52,-50,-77,-66,29
First Lockdown,2020-03-18,-82,-47,-47,-67,-63,26
First Lockdown,2020-03-18,-79,-42,-56,-83,-78,35
First Lockdown,2020-03-18,-83,-50,-57,-76,-65,26
First Lockdown,2020-03-18,-84,-53,-53,-79,-71,31
First Lockdown,2020-03-18,-84,-50,-43,-70,-63,25
First Lockdown,2020-03-18,-82,-47,-48,-69,-63,26
First Lockdown,2020-03-18,-84,-54,-52,-65,-63,28
First Lockdown,2020-03-18,-85,-52,-53,-80,-68,30
First Lockdown,2020-03-18,-80,-47,-36,-46,-58,23
First Lockdown,2020-03-18,-78,-48,-15,-43,-55,22
First Lockdown,2020-03-18,-83,-52,-54,-75,-65,25
First Lockdown,2020-03-18,-80,-46,-43,-67,-60,24
First Lockdown,2020-03-18,-81,-50,-39,-54,-58,25
First Lockdown,2020-03-18,-78,-52,-42,-74,-58,25
First Lockdown,2020-03-18,-87,-57,-65,-73,-63,26
First Lockdown,2020-03-18,-81,-53,-45,-72,-59,22
First Lockdown,2020-03-18,-82,-51,-49,-64,-63,24
First Lockdown,2020-03-18,-82,-49,-31,-60,-56,25
First Lockdown,2020-03-18,-85,-52,-33,-68,-63,24
First Lockdown,2020-03-18,-82,-53,-54,-71,-63,27
First Lockdown,2020-03-18,-79,-48,-33,-60,-56,22
First Lockdown,2020-03-18,-79,-50,-27,-67,-57,24
First Lockdown,2020-03-18,-81,-50,-43,-77,-58,23
First Lockdown,2020-03-18,-92,-48,-80,-83,-83,40
First Lockdown,2020-03-18,-85,-51,-40,-60,-62,26
First Lockdown,2020-03-18,-82,-48,-35,-61,-62,26
First Lockdown,2020-03-18,-82,-49,-43,-70,-61,25
First Lockdown,2020-03-18,-81,-48,-38,-68,-60,23
First Lockdown,2020-03-18,-78,-36,-51,-71,-74,33
First Lockdown,2020-03-18,-79,-52,-42,-68,-57,24
First Lockdown,2020-03-18,-86,-53,-35,-63,-68,26
First Lockdown,2020-03-18,-83,-51,-49,-64,-65,27
First Lockdown,2020-03-18,-82,-45,-64,-72,-67,28
First Lockdown,2020-03-18,-82,-53,-45,-80,-63,26
First Lockdown,2020-03-18,-84,-50,-55,-75,-64,27
First Lockdown,2020-03-18,-84,-49,-49,-77,-63,27
First Lockdown,2020-03-18,-83,-54,-40,-61,-62,27
First Lockdown,2020-03-18,-84,-49,-56,-71,-62,23
First Lockdown,2020-03-18,-81,-45,-54,-66,-64,25
First Lockdown,2020-03-18,-79,-51,-24,-62,-54,22
First Lockdown,2020-03-18,-81,-36,-58,-75,-76,35
First Lockdown,2020-03-18,-81,-51,-41,-74,-57,25
First Lockdown,2020-03-18,-82,-47,-47,-74,-63,26
First Lockdown,2020-03-18,-81,-48,-30,-55,-58,24
First Lockdown,2020-03-18,-81,-52,-39,-53,-61,23
First Lockdown,2020-03-18,-76,-45,-33,-67,-54,22
First Lockdown,2020-03-18,-85,-57,-43,-65,-63,25
First Lockdown,2020-03-18,-84,-52,-53,-68,-63,25
First Lockdown,2020-03-18,-86,-58,-55,-73,-61,24
First Lockdown,2020-03-19,-78,-33,-42,-72,-76,35
First Lockdown,2020-03-19,-82,-44,-46,-71,-66,27
First Lockdown,2020-03-19,-85,-46,-55,-68,-71,30
First Lockdown,2020-03-19,-86,-37,-60,-82,-83,42
First Lockdown,2020-03-19,-83,-41,-39,-69,-60,28
First Lockdown,2020-03-19,-80,-44,-42,-64,-63,28
First Lockdown,2020-03-19,-82,-43,-66,-82,-72,34
First Lockdown,2020-03-19,-78,-44,-56,-66,-64,28
First Lockdown,2020-03-19,-77,-42,-17,-49,-62,
First Lockdown,2020-03-19,-78,-41,-31,-75,-64,28
First Lockdown,2020-03-19,-80,-39,-60,-72,-67,28
First Lockdown,2020-03-19,-82,-41,-52,-80,-71,35
First Lockdown,2020-03-19,-85,-46,-52,-84,-71,35
First Lockdown,2020-03-19,-84,-45,-45,-69,-67,31
First Lockdown,2020-03-19,-82,-40,-42,-71,-63,27
First Lockdown,2020-03-19,-82,-47,-52,-59,-62,27
First Lockdown,2020-03-19,-79,-46,-25,-69,-57,26
First Lockdown,2020-03-19,-81,-43,-44,-68,-65,29
First Lockdown,2020-03-19,-77,-36,-47,-71,-75,35
First Lockdown,2020-03-19,-83,-41,-65,-84,-75,37
First Lockdown,2020-03-19,-82,-41,-68,-76,-70,31
First Lockdown,2020-03-19,-82,-42,-65,-78,-71,32
First Lockdown,2020-03-19,-80,-40,-43,-58,-62,28
First Lockdown,2020-03-19,-80,-50,-54,-72,-64,26
First Lockdown,2020-03-19,-82,-41,-38,-71,-66,30
First Lockdown,2020-03-19,-81,-39,-53,-76,-67,30
First Lockdown,2020-03-19,-83,-42,-33,,-63,27
First Lockdown,2020-03-19,-83,-50,-62,-76,-70,31
First Lockdown,2020-03-19,-84,-45,-57,-76,-67,31
First Lockdown,2020-03-19,-83,-37,-53,-79,-66,30
First Lockdown,2020-03-19,-85,-43,-66,-84,-78,39
First Lockdown,2020-03-19,-81,-46,-50,-78,-65,29
First Lockdown,2020-03-19,-82,-47,-44,-63,-65,26
First Lockdown,2020-03-19,-82,-46,-52,-80,-67,30
First Lockdown,2020-03-19,-82,-40,-56,-80,-69,33
First Lockdown,2020-03-19,-82,-41,-61,-77,-67,30
First Lockdown,2020-03-19,-82,-42,-48,-47,-67,31
First Lockdown,2020-03-19,-81,-45,-50,-81,-62,27
First Lockdown,2020-03-19,-84,-44,-50,-77,-69,30
First Lockdown,2020-03-19,-81,-44,-46,-73,-65,29
First Lockdown,2020-03-19,-81,-41,-61,-77,-69,30
First Lockdown,2020-03-19,-84,-44,-58,-82,-73,33
First Lockdown,2020-03-19,-82,-45,-63,-79,-69,29
First Lockdown,2020-03-19,-80,-39,-49,-73,-64,27
First Lockdown,2020-03-19,-79,-41,-38,-63,-62,27
First Lockdown,2020-03-19,-84,-47,-58,-78,-71,32
First Lockdown,2020-03-19,-77,-38,-42,-69,-67,33
First Lockdown,2020-03-19,-87,-54,-77,-84,-69,33
First Lockdown,2020-03-19,-81,-47,-38,-77,-61,28
First Lockdown,2020-03-19,-81,-46,-39,-80,-64,26
First Lockdown,2020-03-19,-83,-46,-60,-73,-69,32
First Lockdown,2020-03-19,-83,-45,-53,-78,-69,32
First Lockdown,2020-03-19,-83,-42,-47,-81,-66,30
First Lockdown,2020-03-19,-84,-49,-49,-73,-67,31
First Lockdown,2020-03-19,-83,-46,-42,-77,-66,30
First Lockdown,2020-03-19,-84,-45,-64,-82,-72,31
First Lockdown,2020-03-19,-81,-45,-46,-72,-63,26
First Lockdown,2020-03-19,-82,-41,-56,-78,-71,32
First Lockdown,2020-03-19,-80,-35,-56,-77,-73,34
First Lockdown,2020-03-19,-83,-45,-55,-70,-68,31
First Lockdown,2020-03-19,-81,-40,-54,-75,-67,30
First Lockdown,2020-03-19,-80,-45,-29,-74,-62,29
First Lockdown,2020-03-19,-83,-47,-48,-47,-62,25
First Lockdown,2020-03-19,-79,-42,-32,-72,-62,29
First Lockdown,2020-03-19,-83,-41,-67,-73,-67,34
First Lockdown,2020-03-19,-79,-41,-31,-68,-63,25
First Lockdown,2020-03-19,-81,-43,-45,-82,-63,30
First Lockdown,2020-03-19,-78,-45,-40,-77,-62,28
First Lockdown,2020-03-19,-83,-48,-59,-70,-67,29
First Lockdown,2020-03-19,-80,-50,-56,-72,-63,25
First Lockdown,2020-03-19,-80,-42,-48,-73,-67,28
First Lockdown,2020-03-19,-83,-42,-58,-79,-69,30
First Lockdown,2020-03-19,-77,-36,-43,-77,-74,36
First Lockdown,2020-03-19,-87,-52,-67,-75,-67,30
First Lockdown,2020-03-19,-78,-45,-43,-74,-60,27
First Lockdown,2020-03-19,-84,-45,-54,-75,-67,28
First Lockdown,2020-03-19,-78,-37,-58,-84,-80,39
First Lockdown,2020-03-19,-87,-54,-61,-80,-66,28
First Lockdown,2020-03-19,-81,-42,-52,-78,-67,30
First Lockdown,2020-03-19,-82,-45,-54,-75,-66,30
First Lockdown,2020-03-19,-85,-45,-46,-67,-68,31
First Lockdown,2020-03-19,-82,-42,-44,-72,-63,26
First Lockdown,2020-03-19,-84,-44,-46,-76,-66,30
First Lockdown,2020-03-19,-93,-48,-80,-84,-84,42
First Lockdown,2020-03-19,-82,-44,-36,-62,-60,24
First Lockdown,2020-03-19,-78,-43,-29,-69,-61,25
First Lockdown,2020-03-19,-82,-46,-58,-77,-67,30
First Lockdown,2020-03-19,-82,-43,-51,-82,-70,33
First Lockdown,2020-03-19,-84,-45,-58,-75,-66,26
First Lockdown,2020-03-19,-82,-44,-35,-79,-64,29
First Lockdown,2020-03-19,-82,-45,-54,-80,-71,30
First Lockdown,2020-03-19,-83,-44,-50,-78,-69,30
First Lockdown,2020-03-19,-82,-47,-39,-74,-67,28
First Lockdown,2020-03-19,-80,-33,-53,-76,-78,38
First Lockdown,2020-03-19,-80,-54,-53,-71,-65,27
First Lockdown,2020-03-19,-80,-38,-41,-76,-66,30
First Lockdown,2020-03-19,-84,-47,-35,-69,-64,26
First Lockdown,2020-03-19,-80,-42,-45,-57,-65,28
First Lockdown,2020-03-19,-81,-42,-39,-59,-63,27
First Lockdown,2020-03-19,-83,-37,-69,-79,-78,38
First Lockdown,2020-03-19,-80,-43,-35,,-64,30
First Lockdown,2020-03-19,-84,-49,-53,-71,-67,28
First Lockdown,2020-03-19,-81,-42,-50,-78,-67,30
First Lockdown,2020-03-19,-78,-39,-38,-66,-61,26
First Lockdown,2020-03-19,-83,-46,-55,-82,-74,36
First Lockdown,2020-03-19,-82,-48,-48,-78,-69,28
First Lockdown,2020-03-19,-82,-44,-40,-78,-67,31
First Lockdown,2020-03-19,-83,-46,-53,-83,-70,33
First Lockdown,2020-03-19,-82,-46,-50,-81,-66,28
First Lockdown,2020-03-19,-82,-42,-52,-79,-70,31
First Lockdown,2020-03-20,-83,-45,-48,-85,-64,31
First Lockdown,2020-03-20,-81,-49,-59,-76,-65,29
First Lockdown,2020-03-20,-87,-37,-74,-83,-83,43
First Lockdown,2020-03-20,-84,-41,-59,-76,-63,33
First Lockdown,2020-03-20,-78,-41,-29,-68,-62,
First Lockdown,2020-03-20,-82,-43,-46,-80,-66,33
First Lockdown,2020-03-20,-84,-44,-58,-82,-72,38
First Lockdown,2020-03-20,-81,-41,-64,-77,-67,30
First Lockdown,2020-03-20,-85,-47,-43,-80,-67,32
First Lockdown,2020-03-20,-83,-43,-40,-81,-61,32
First Lockdown,2020-03-20,-86,-46,-63,-85,-71,40
First Lockdown,2020-03-20,-79,-38,-61,-78,-74,39
First Lockdown,2020-03-20,-83,-47,-54,-83,-65,32
First Lockdown,2020-03-20,-82,-41,-42,-77,-59,28
First Lockdown,2020-03-20,-84,-42,-70,-86,-75,40
First Lockdown,2020-03-20,-83,-42,-49,-71,-63,33
First Lockdown,2020-03-20,-85,-45,-61,-88,-70,37
First Lockdown,2020-03-20,-79,-40,-44,-75,-68,37
First Lockdown,2020-03-20,-83,-43,-51,-86,-63,36
First Lockdown,2020-03-20,-84,-45,-59,-81,-70,34
First Lockdown,2020-03-20,-80,-46,-42,-81,-62,30
First Lockdown,2020-03-20,-85,-43,-50,-77,-67,33
First Lockdown,2020-03-20,-81,-34,-69,-77,-77,40
First Lockdown,2020-03-20,-84,-42,-60,-79,-67,34
First Lockdown,2020-03-20,-83,-42,-66,-80,-71,36
First Lockdown,2020-03-20,-80,-40,-75,-85,-79,41
First Lockdown,2020-03-20,-84,-37,-80,-81,-78,41
First Lockdown,2020-03-20,-83,-46,-62,-82,-66,36
First Lockdown,2020-03-20,-86,-44,-62,-77,-67,29
First Lockdown,2020-03-20,-84,-44,-46,-81,-68,35
First Lockdown,2020-03-20,-83,-42,-58,-81,-71,34
First Lockdown,2020-03-20,-85,-43,-55,-80,-70,34
First Lockdown,2020-03-20,-82,-43,-46,-72,-64,31
First Lockdown,2020-03-20,-86,-46,-61,-72,-70,36
First Lockdown,2020-03-20,-81,-41,-57,-83,-67,35
First Lockdown,2020-03-20,-83,-44,-45,-74,-64,32
First Lockdown,2020-03-20,-79,-43,-49,-80,-63,33
First Lockdown,2020-03-20,-84,-47,-66,-84,-74,39
First Lockdown,2020-03-20,-84,-46,-65,-82,-70,36
First Lockdown,2020-03-20,-83,-42,-51,-83,-67,35
First Lockdown,2020-03-20,-84,-46,-62,-71,-68,35
First Lockdown,2020-03-20,-85,-43,-73,-79,-68,38
First Lockdown,2020-03-20,-80,-39,-37,-77,-62,29
First Lockdown,2020-03-20,-86,-48,-47,-61,-65,30
First Lockdown,2020-03-20,-85,-43,-71,-82,-70,34
First Lockdown,2020-03-20,-86,-46,-63,-84,-71,36
First Lockdown,2020-03-20,-82,-49,-62,-80,-63,28
First Lockdown,2020-03-20,-82,-42,-68,-82,-68,34
First Lockdown,2020-03-20,-79,-46,-65,-74,-65,33
First Lockdown,2020-03-20,-81,-43,-36,-75,-59,32
First Lockdown,2020-03-20,-83,-46,-67,-85,-66,34
First Lockdown,2020-03-20,-80,-41,-53,-69,-65,31
First Lockdown,2020-03-20,-83,-46,-68,-72,-67,34
First Lockdown,2020-03-20,-82,-42,-63,-79,-72,34
First Lockdown,2020-03-20,-88,-54,-80,-86,-69,36
First Lockdown,2020-03-20,-81,-45,-37,-82,-60,31
First Lockdown,2020-03-20,-84,-49,-67,-81,-71,34
First Lockdown,2020-03-20,-82,-46,-61,-85,-68,35
First Lockdown,2020-03-20,-84,-48,-73,-83,-70,35
First Lockdown,2020-03-20,-78,-42,-38,-78,-64,32
First Lockdown,2020-03-20,-83,-43,-61,-85,-70,37
First Lockdown,2020-03-20,-79,-42,-67,-74,-75,38
First Lockdown,2020-03-20,-83,-46,-61,-82,-71,33
First Lockdown,2020-03-20,-83,-39,-43,-75,-61,31
First Lockdown,2020-03-20,-85,-47,-36,-74,-65,31
First Lockdown,2020-03-20,-93,-48,-88,-86,-84,44
First Lockdown,2020-03-20,-85,-43,-66,-83,-73,36
First Lockdown,2020-03-20,-81,-41,-42,-77,-63,34
First Lockdown,2020-03-20,-82,-41,-69,-77,-70,32
First Lockdown,2020-03-20,-82,-46,-52,-74,-66,29
First Lockdown,2020-03-20,-85,-47,-73,-85,-73,35
First Lockdown,2020-03-20,-85,-39,-46,,-64,31
First Lockdown,2020-03-20,-85,-48,-56,-81,-68,35
First Lockdown,2020-03-20,-82,-43,-68,-83,-71,38
First Lockdown,2020-03-20,-81,-47,-61,-78,-65,29
First Lockdown,2020-03-20,-84,-46,-52,-76,-66,36
First Lockdown,2020-03-20,-82,-42,-60,-80,-67,34
First Lockdown,2020-03-20,-79,-37,-62,-74,-76,37
First Lockdown,2020-03-20,-83,-44,-65,-79,-66,31
First Lockdown,2020-03-20,-82,-42,-41,,-64,33
First Lockdown,2020-03-20,-82,-44,-51,-80,-65,33
First Lockdown,2020-03-20,-82,-41,-57,-80,-67,35
First Lockdown,2020-03-20,-83,-49,-54,-84,-70,32
First Lockdown,2020-03-20,-84,-42,-62,-84,-66,35
First Lockdown,2020-03-20,-85,-46,-69,-84,-68,36
First Lockdown,2020-03-20,-85,-43,-71,-84,-78,42
First Lockdown,2020-03-20,-87,-51,-77,-79,-67,32
First Lockdown,2020-03-20,-85,-48,-65,-75,-73,34
First Lockdown,2020-03-20,-84,-44,-59,-79,-63,30
First Lockdown,2020-03-20,-80,-43,-54,-76,-66,31
First Lockdown,2020-03-20,-83,-45,-59,-76,-64,31
First Lockdown,2020-03-20,-82,-41,-65,-78,-69,33
First Lockdown,2020-03-20,-83,-44,-63,-83,-68,35
First Lockdown,2020-03-20,-84,-51,-73,-76,-68,33
First Lockdown,2020-03-20,-89,-56,-72,-84,-64,31
First Lockdown,2020-03-20,-84,-45,-56,-79,-68,35
First Lockdown,2020-03-20,-83,-43,-51,-76,-66,33
First Lockdown,2020-03-20,-79,-38,-34,-71,-61,30
First Lockdown,2020-03-20,-82,-38,-68,-78,-73,37
First Lockdown,2020-03-20,-83,-43,-61,-86,-62,33
First Lockdown,2020-03-20,-78,-44,-47,-74,-60,30
First Lockdown,2020-03-20,-84,-41,-62,-80,-67,34
First Lockdown,2020-03-20,-86,-50,-63,-76,-68,32
First Lockdown,2020-03-20,-81,-43,-36,-83,-62,34
First Lockdown,2020-03-20,-84,-47,-57,-67,-63,30
First Lockdown,2020-03-20,-84,-46,-62,-82,-68,33
First Lockdown,2020-03-20,-83,-41,-62,-83,-70,37
First Lockdown,2020-03-20,-85,-42,-52,-81,-66,34
First Lockdown,2020-03-20,-82,-40,-56,-80,-65,31
First Lockdown,2020-03-20,-86,-48,-70,-82,-68,33
First Lockdown,2020-03-21,-87,-58,-75,-85,-52,24
First Lockdown,2020-03-21,-87,-55,-78,-82,-57,24
First Lockdown,2020-03-21,-90,-60,-70,-77,-50,26
First Lockdown,2020-03-21,-91,-68,-84,-94,-62,26
First Lockdown,2020-03-21,-86,-56,-69,-74,-55,23
First Lockdown,2020-03-21,-92,-68,-78,-86,-60,24
First Lockdown,2020-03-21,-90,-59,-81,-82,-57,25
First Lockdown,2020-03-21,-87,-52,-61,-73,-51,
First Lockdown,2020-03-21,-84,-50,-74,-75,-66,27
First Lockdown,2020-03-21,-89,-56,-80,-85,-60,25
First Lockdown,2020-03-21,-88,-58,-73,-83,-55,25
