country_region,pre_avg_retail_recreation,post_avg_retail_recreation,pre_avg_grocery_pharmacy,post_avg_grocery_pharmacy,pre_avg_parks,post_avg_parks,pre_avg_transit_stations,post_avg_transit_stations,pre_avg_workplaces,post_avg_workplaces,pre_avg_residential,post_avg_residential
France,1.5242424242424237,-28.090582770270267,1.7350791717417786,-5.8462956248489242,20.978168587022441,32.353332073570172,8.94996911673873,-23.375461196923272,-10.495757575757578,-29.81593463935355,2.1126674786845312,9.9970953735589152
Germany,1.1411764705882352,-20.771818531334105,2.0823529411764707,-1.4361948955916477,9.5686274509803884,63.801913112793962,-0.050980392156862717,-24.379688401615692,-4.1137254901960789,-21.547097270280666,1.0666666666666664,6.6014994232987316
