country_region,year,month,avg_retail_recreation,avg_grocery_pharmacy,avg_parks,avg_transit_stations,avg_workplaces,avg_residential
France,2020,2,1.5242424242424242,1.7350791717417784,20.978168587022434,8.9499691167387265,-10.495757575757576,2.1126674786845312
France,2020,3,-44.221309069562672,-20.371386430678463,-26.918109773994722,-38.62481270602337,-33.304105571847515,14.684886499402626
France,2020,4,-81.337283500455754,-42.967457420924582,-56.516060606060591,-76.864628820960689,-61.226363636363637,26.633530694920537
France,2020,5,-51.1548178613396,-16.733195754716988,-4.5983558426306512,-53.200768775872277,-38.556011730205263,15.84190193164933
France,2020,6,-15.215650591446769,-1.08988421694089,47.710158150851576,-18.576380368098164,-18.225757575757576,6.4907210222087031
France,2020,7,3.1230182031708753,10.617429837518467,158.37212772306779,11.327799577422279,-22.960997067448684,3.6159505591524419
France,2020,8,6.7209377007064877,14.405328258801145,187.42844638949674,19.45950037850114,-30.794956469528667,4.1473622163277328
France,2020,9,-6.5938500960922495,1.7523052464228941,73.045017314351668,5.2424672102091465,-16.046683046683039,1.2895377128953778
France,2020,10,-14.460410557184751,0.98408488063660471,27.084263065179094,-5.2980941036331135,-18.044574780058639,4.8766881972988845
France,2020,11,-50.346889226100146,-13.419256550883604,-17.563636363636363,-39.93233770192014,-28.25030303030303,13.105007587253416
France,2020,12,-24.778625954198475,9.1597755463673955,-5.5205278592375349,-25.639266706091071,-30.739296187683284,10.037580739870814
France,2021,1,-39.912775330396492,-10.099115044247787,-14.495601173020528,-27.297273266152935,-23.727859237536656,8.8511013215859027
France,2021,2,-36.273081924577369,-1.54640522875817,10.271841506982788,-19.32906824146982,-25.001948051948048,8.0308842652795818
France,2021,3,-34.209336465061646,3.678171091445428,16.748091603053425,-16.649081209247189,-19.295601173020529,6.9069289489136816
France,2021,4,-40.285497572815537,5.5628048780487784,19.171523982999386,-29.351795496043813,-30.150303030303029,10.862864077669906
France,2021,5,-22.819835680751172,16.165827657684339,54.615045548045849,-0.40968899521531144,-20.802052785923753,5.6951541850220266
France,2021,6,0.70597150651712681,23.174549893194992,87.516079632465534,13.136760124610593,-8.44939393939394,1.2499999999999998
France,2021,7,14.111241561491049,32.259609698403317,162.89082706766925,37.662772825084538,-19.122873900293254,1.3975337639459773
France,2021,8,17.818795888399411,42.528000000000027,205.0498026116004,46.070040111076835,-26.582111436950147,3.2781204111600588
France,2021,9,5.2310491206792,26.37801526717557,98.79336813018115,30.553425518541804,-9.8730303030303048,0.26941747572815522
France,2021,10,0.046041055718475096,19.7856298048492,54.788901937756904,15.424086930274676,-10.313196480938416,0.98032305433186506
France,2021,11,-5.0133333333333345,14.793902439024393,22.240521686381555,3.84239802224969,-16.512424242424245,3.6926577669902914
France,2021,12,0.54252199413489743,30.034942256440623,18.448194892867633,2.9611011370436846,-20.660117302052786,4.8405754550792714
France,2022,1,-14.9841642228739,15.648640661938533,7.0824288647697253,-7.29474940334129,-15.011436950146624,6.2516886930983837
France,2022,2,-5.93279220779221,16.724509803921567,26.959714100064982,5.3064891846921816,-13.937337662337661,4.0393368010403137
France,2022,3,-8.12199413489736,17.367877177443162,44.2827748383304,8.7272454190447544,-6.6824046920821125,3.2906635349383433
France,2022,4,-3.4177023340406176,24.342290076335882,81.117647058823536,17.522308892355696,-13.343636363636358,3.6189320388349517
France,2022,5,4.3582746478873249,26.689440993788821,110.10032554010061,28.762252663622522,-8.73782991202346,1.13215859030837
France,2022,6,6.84258416742493,30.032139577594116,116.52540806898676,32.610918270747874,-6.1742424242424248,0.892597087378641
France,2022,7,11.978267254038181,37.842886842886834,183.71779327068811,50.53938461538462,-15.968621700879764,2.2140969162995594
France,2022,8,16.263065179095715,42.224792408066428,218.91915155241313,53.236834000615936,-26.837536656891494,5.3628890193775671
France,2022,9,6.5826508947528062,30.920867705468989,109.17473035439136,35.976325757575758,-7.0151515151515156,1.5200242718446602
France,2022,10,2.2387878787878788,27.958460598656082,74.8270401948843,27.268965517241377,-2.6212121212121215,1.8495145631067962
