country_region,sub_region_1,avg_retail_recreation,avg_grocery_pharmacy,avg_parks,avg_transit_stations,avg_workplaces,avg_residential
France,Auvergne-Rhône-Alpes,-22.626283367556468,4.3234086242299794,31.813141683778234,-13.714579055441478,-23.922997946611915,6.45687885010267
France,Bourgogne-Franche-Comté,-15.311088295687885,8.654004106776183,56.184536082474224,0.62422997946611924,-19.112936344969196,5.8891170431211508
France,Brittany,-9.9589322381930163,20.408624229979477,114.0895983522142,2.1591375770020536,-17.246406570841888,5.2515400410677593
France,Centre-Val de Loire,-16.895277207392198,7.122176591375772,48.154639175257728,1.2268993839835729,-21.666324435318273,6.1026694045174548
France,Corsica,20.317175974710228,32.238195173137463,165.45476772616132,41.43203371970494,-11.098140495867767,2.9132231404958677
France,Grand Est,-19.41683778234086,7.1991786447638608,36.22073921971252,-14.212525667351134,-21.913757700205341,6.4045174537987677
France,Hauts-de-France,-19.123203285420939,3.7782340862423,47.9548254620123,-14.032854209445587,-22.407597535934293,6.282340862423
France,Normandy,-13.030800821355236,12.991786447638605,74.3028747433265,2.9425051334702257,-18.967145790554415,5.5030800821355239
France,Nouvelle-Aquitaine,-11.699178644763858,13.525667351129362,86.508213552361383,-5.0184804928131417,-18.31622176591376,5.7751540041067768
France,Occitanie,-12.162217659137577,14.717659137577002,72.145790554414774,-0.027720739219713061,-19.797741273100613,5.9045174537987668
France,Pays de la Loire,-13.169404517453797,13.549281314168377,84.2299794661191,0.67145790554414819,-19.528747433264883,5.8901437371663237
France,Provence-Alpes-Côte d'Azur,-13.771047227926076,10.447638603696097,63.264887063655031,-5.3377823408624225,-21.414784394250514,5.754620123203285
France,Île-de-France,-33.353182751540054,-2.5215605749486656,-12.183778234086242,-24.858316221765911,-30.633470225872692,8.6796714579055454
Germany,Baden-Württemberg,-18.77002053388091,3.4250513347022582,68.078028747433265,-23.229979466119097,-20.111909650924019,6.4281314168377826
Germany,Bavaria,-18.061601642710478,5.020533880903491,63.981519507186853,-22.375770020533881,-18.620123203285416,6.4363449691991779
Germany,Berlin,-28.687885010266942,-1.8125643666323388,15.078028747433267,-28.079055441478435,-23.555441478439427,6.6488706365503072
Germany,Brandenburg,-6.6591375770020527,14.17198764160659,78.41632231404958,-7.9096509240246391,-11.567761806981522,4.7320328542094474
Germany,Bremen,-23.693018480492814,7.0381050463439738,58.250790305584836,-24.581108829568784,-17.545174537987673,5.5924024640657066
Germany,Hamburg,-26.031827515400408,4.8043254376931008,55.196875,-26.398357289527716,-24.0605749486653,7.6355236139630378
Germany,Hessen,-19.361396303901437,4.5811088295687874,58.180698151950729,-23.573921971252563,-19.340862422997951,6.3059548254620141
Germany,Lower Saxony,-13.302874743326489,10.647843942505133,101.47638603696097,-15.014373716632445,-15.994866529774125,5.71252566735113
Germany,Mecklenburg-Vorpommern,8.3952772073921977,31.622039134912463,182.26043956043949,19.201232032854207,-8.3449691991786477,3.7371663244353179
Germany,North Rhine-Westphalia,-19.442505133470227,8.374743326488705,53.617043121149884,-21.429158110882959,-18.136550308008211,6.0924024640657084
Germany,Rhineland-Palatinate,-12.226899383983572,9.3336766220391318,84.064681724846,-17.967145790554419,-17.722792607802877,6.0893223819301836
Germany,Saarland,-16.179671457905545,4.9237899073120506,45.751317175974712,-21.005149330587031,-18.457905544147842,6.3398357289527718
Germany,Saxony,-13.276180698151947,6.4630390143737175,67.869609856262883,-7.1611909650924011,-11.419917864476385,4.4075975359342916
Germany,Saxony-Anhalt,-11.860369609856264,6.4037075180226584,74.766355140186917,-0.12628336755646835,-8.5995893223819326,3.716632443531827
Germany,Schleswig-Holstein,-4.6704312114989728,23.936148300720912,170.74132492113566,4.8162217659137578,-15.097535934291582,5.3603696098562619
Germany,Thuringia,-12.798767967145791,5.8300720906282191,68.96137787056368,1.8408624229979467,-11.663244353182755,4.1334702258726885
